id,cliente_id,valor,data_transacao
4810,205,60.75,2021-07-28T23:08:44.000-03:00
4801,718,1000.0,2021-07-28T20:19:32.000-03:00
4793,205,82.87,2021-07-28T17:16:18.000-03:00
4750,370,50.0,2021-07-28T10:56:27.000-03:00
4748,205,44.0,2021-07-28T10:35:31.000-03:00
4747,205,29.34,2021-07-28T10:35:31.000-03:00
4714,44,2.5,2021-07-26T22:01:08.000-03:00
4713,689,122.0,2021-07-26T20:02:07.000-03:00
4695,205,31.63,2021-07-25T18:10:30.000-03:00
4683,695,70.0,2021-07-25T11:49:26.000-03:00
4664,205,98.0,2021-07-24T23:02:23.000-03:00
4647,205,56.25,2021-07-24T06:05:46.000-03:00
4643,205,84.9,2021-07-24T02:35:03.000-03:00
4628,205,47.6,2021-07-23T19:10:54.000-03:00
4627,205,26.44,2021-07-23T19:10:54.000-03:00
4620,205,80.26,2021-07-22T23:39:52.000-03:00
4604,389,10.0,2021-07-21T21:50:42.000-03:00
4599,205,100.0,2021-07-21T20:59:10.000-03:00
4587,205,59.23,2021-07-19T01:11:13.000-03:00
4581,205,85.8,2021-07-18T22:31:38.000-03:00
4554,205,40.11,2021-07-17T21:27:02.000-03:00
4544,205,48.07,2021-07-17T15:34:30.000-03:00
4540,205,7.94,2021-07-17T15:18:32.000-03:00
4536,702,20.0,2021-07-17T13:26:04.000-03:00
4527,205,100.0,2021-07-17T12:05:56.000-03:00
4503,205,60.3,2021-07-16T19:11:03.000-03:00
4501,695,50.0,2021-07-16T18:43:04.000-03:00
4464,205,52.92,2021-07-14T23:29:23.000-03:00
4424,702,20.0,2021-07-13T13:18:56.000-03:00
4419,695,30.0,2021-07-12T18:00:35.000-03:00
4408,690,5.1,2021-07-11T19:11:57.000-03:00
4385,690,100.1,2021-07-10T20:08:21.000-03:00
4368,690,150.0,2021-07-10T18:06:53.000-03:00
4357,690,100.0,2021-07-10T17:51:44.000-03:00
4355,431,1100.0,2021-07-10T17:34:23.000-03:00
4350,695,50.0,2021-07-10T14:40:18.000-03:00
4337,690,100.0,2021-07-10T09:50:53.000-03:00
4327,690,50.0,2021-07-09T18:19:38.000-03:00
4322,690,100.0,2021-07-09T13:37:40.000-03:00
4309,690,100.0,2021-07-09T09:49:36.000-03:00
4296,690,100.0,2021-07-08T16:24:53.000-03:00
4280,370,50.0,2021-07-07T22:53:08.000-03:00
4278,690,100.0,2021-07-07T22:52:28.000-03:00
4253,690,100.0,2021-07-06T18:12:56.000-03:00
4246,695,50.0,2021-07-06T14:46:41.000-03:00
4241,690,101.6,2021-07-06T14:05:06.000-03:00
4231,690,70.0,2021-07-06T09:58:06.000-03:00
4229,689,2.0,2021-07-06T09:55:18.000-03:00
4218,690,50.0,2021-07-05T18:35:52.000-03:00
4206,690,100.0,2021-07-05T15:34:32.000-03:00
4196,690,75.0,2021-07-05T09:39:05.000-03:00
4174,690,100.0,2021-07-04T12:33:35.000-03:00
4171,431,1100.0,2021-07-04T11:25:05.000-03:00
4160,690,100.0,2021-07-04T07:59:56.000-03:00
4147,702,20.0,2021-07-03T17:54:53.000-03:00
4142,690,50.0,2021-07-03T14:18:27.000-03:00
4127,695,50.0,2021-07-03T13:06:08.000-03:00
4125,690,100.0,2021-07-03T11:52:26.000-03:00
4113,690,100.0,2021-07-03T10:13:00.000-03:00
4105,690,70.0,2021-07-02T17:40:26.000-03:00
4094,690,100.0,2021-07-02T12:25:29.000-03:00
4078,690,100.7,2021-07-02T08:35:28.000-03:00
4055,690,150.0,2021-07-01T11:05:38.000-03:00
3945,690,1706.25,2021-06-28T19:11:03.000-03:00
3899,690,110.8,2021-06-27T10:54:51.000-03:00
3885,690,70.0,2021-06-26T18:52:46.000-03:00
3883,690,510.0,2021-06-26T18:12:58.000-03:00
3881,690,100.0,2021-06-26T15:32:49.000-03:00
3879,690,5.0,2021-06-26T15:10:44.000-03:00
3878,690,5.0,2021-06-26T15:10:14.000-03:00
3877,690,20.0,2021-06-26T15:09:41.000-03:00
3867,690,100.0,2021-06-26T09:57:32.000-03:00
3862,695,100.0,2021-06-25T20:01:46.000-03:00
3856,690,20.0,2021-06-25T14:39:22.000-03:00
3855,690,20.0,2021-06-25T14:39:03.000-03:00
3850,690,5.0,2021-06-25T09:57:29.000-03:00
3849,690,5.0,2021-06-25T09:57:02.000-03:00
3848,690,20.0,2021-06-25T09:55:41.000-03:00
3847,690,20.0,2021-06-25T09:55:14.000-03:00
3835,690,50.0,2021-06-24T13:41:02.000-03:00
3823,690,5.0,2021-06-24T10:59:58.000-03:00
3822,690,5.0,2021-06-24T10:59:34.000-03:00
3821,690,50.0,2021-06-24T10:58:51.000-03:00
3817,690,5.0,2021-06-24T10:20:32.000-03:00
3816,690,5.0,2021-06-24T10:19:41.000-03:00
3815,690,20.0,2021-06-24T09:59:53.000-03:00
3809,690,50.0,2021-06-24T09:47:01.000-03:00
3787,690,50.0,2021-06-23T12:46:29.000-03:00
3782,690,20.0,2021-06-23T10:29:50.000-03:00
3781,690,50.0,2021-06-23T10:28:41.000-03:00
3774,370,50.0,2021-06-22T11:41:25.000-03:00
3769,690,100.0,2021-06-22T11:30:39.000-03:00
3757,690,50.0,2021-06-21T17:14:44.000-03:00
3753,690,50.0,2021-06-21T10:59:32.000-03:00
3732,690,50.0,2021-06-19T14:35:44.000-03:00
6543,732,138.69,2021-10-14T23:38:46.000-03:00
6537,737,10.0,2021-10-14T20:57:52.000-03:00
6527,730,2.0,2021-10-14T17:09:40.000-03:00
6525,730,2.0,2021-10-14T17:03:47.000-03:00
6522,730,30.0,2021-10-14T16:52:39.000-03:00
6517,732,103.0,2021-10-14T15:26:43.000-03:00
6516,730,2.0,2021-10-14T13:17:58.000-03:00
6511,370,50.0,2021-10-14T12:27:07.000-03:00
6502,732,400.72,2021-10-14T01:18:47.000-03:00
6500,730,2.0,2021-10-13T22:30:57.000-03:00
6497,737,12.5,2021-10-13T20:55:26.000-03:00
6495,730,2.0,2021-10-13T20:48:30.000-03:00
6474,732,60.0,2021-10-13T16:15:46.000-03:00
6446,732,43.2,2021-10-12T17:58:26.000-03:00
6444,730,2.0,2021-10-12T17:51:36.000-03:00
6441,732,34.94,2021-10-12T17:20:10.000-03:00
6438,730,2.0,2021-10-12T16:56:41.000-03:00
6430,732,70.2,2021-10-12T15:27:52.000-03:00
6411,732,33.49,2021-10-12T13:27:21.000-03:00
6398,732,20.0,2021-10-12T01:41:59.000-03:00
6393,730,2.0,2021-10-11T19:18:56.000-03:00
6384,737,8.0,2021-10-10T21:13:53.000-03:00
6381,737,18.75,2021-10-10T18:18:40.000-03:00
6380,737,13.75,2021-10-10T18:18:39.000-03:00
6373,211,10.0,2021-10-10T15:34:45.000-03:00
6357,732,20.0,2021-10-10T13:20:30.000-03:00
6347,737,12.25,2021-10-09T21:07:20.000-03:00
6330,671,700.0,2021-10-09T13:23:55.000-03:00
6311,732,30.0,2021-10-08T02:44:35.000-03:00
6300,730,2.0,2021-10-07T15:05:31.000-03:00
6288,211,10.0,2021-10-07T13:18:36.000-03:00
6283,730,2.0,2021-10-07T01:59:58.000-03:00
6276,730,2.0,2021-10-06T21:07:33.000-03:00
6274,730,2.0,2021-10-06T21:02:40.000-03:00
6269,730,2.0,2021-10-06T18:55:05.000-03:00
6268,730,2.0,2021-10-06T18:54:34.000-03:00
6260,730,2.0,2021-10-06T18:33:07.000-03:00
6254,730,2.0,2021-10-06T18:10:20.000-03:00
6253,730,2.0,2021-10-06T18:10:02.000-03:00
6251,730,2.0,2021-10-06T18:07:56.000-03:00
6248,730,2.0,2021-10-06T18:00:46.000-03:00
6247,730,2.0,2021-10-06T18:00:16.000-03:00
6246,730,2.0,2021-10-06T17:59:54.000-03:00
6214,732,52.2,2021-10-05T23:27:45.000-03:00
6202,715,58.0,2021-10-05T19:45:18.000-03:00
6197,671,300.0,2021-10-05T19:21:14.000-03:00
6196,205,17.86,2021-10-05T16:57:32.000-03:00
6195,205,75.07,2021-10-05T16:52:13.000-03:00
6185,730,2.0,2021-10-05T01:58:10.000-03:00
6183,730,2.0,2021-10-05T01:44:24.000-03:00
6163,211,25.0,2021-10-04T21:59:41.000-03:00
6161,205,50.0,2021-10-04T21:59:11.000-03:00
6155,732,20.0,2021-10-04T20:41:21.000-03:00
6148,730,2.0,2021-10-04T19:54:18.000-03:00
6111,730,3.0,2021-10-03T19:40:29.000-03:00
6095,715,40.0,2021-10-03T16:12:55.000-03:00
6090,732,153.7,2021-10-03T15:25:25.000-03:00
6074,732,30.0,2021-10-03T10:42:39.000-03:00
6067,205,63.39,2021-10-02T23:09:31.000-03:00
6064,732,20.0,2021-10-02T21:35:35.000-03:00
6055,730,2.0,2021-10-02T20:16:52.000-03:00
6052,730,2.0,2021-10-02T19:41:31.000-03:00
6032,586,20.0,2021-10-02T15:02:18.000-03:00
6013,732,110.08,2021-10-01T22:54:35.000-03:00
6010,730,3.0,2021-10-01T19:51:33.000-03:00
6002,730,500.0,2021-10-01T14:54:15.000-03:00
5995,695,208.69,2021-09-30T23:27:08.000-03:00
5991,211,10.0,2021-09-30T18:49:38.000-03:00
5986,730,2.0,2021-09-30T18:22:37.000-03:00
5984,730,2.0,2021-09-30T18:14:01.000-03:00
5980,730,2.0,2021-09-30T17:52:10.000-03:00
5952,211,10.0,2021-09-30T00:51:10.000-03:00
5950,205,78.75,2021-09-30T00:50:51.000-03:00
5940,732,98.27,2021-09-29T23:45:05.000-03:00
5939,732,112.95,2021-09-29T23:25:04.000-03:00
5935,211,10.0,2021-09-29T21:19:37.000-03:00
5931,695,10.0,2021-09-29T19:46:56.000-03:00
5922,741,20.0,2021-09-29T18:41:46.000-03:00
5920,730,2.0,2021-09-29T18:23:30.000-03:00
5918,730,2.0,2021-09-29T18:15:13.000-03:00
5916,730,10.0,2021-09-29T17:51:01.000-03:00
5907,211,6.02,2021-09-29T16:25:47.000-03:00
5901,211,10.0,2021-09-29T16:05:49.000-03:00
5891,732,20.0,2021-09-29T13:55:45.000-03:00
5887,732,20.0,2021-09-29T09:34:10.000-03:00
5879,205,50.0,2021-09-28T20:06:31.000-03:00
5874,730,2.0,2021-09-28T18:59:47.000-03:00
5868,730,30.0,2021-09-28T18:35:38.000-03:00
5866,730,2.0,2021-09-28T18:34:01.000-03:00
5863,730,2.0,2021-09-28T18:22:48.000-03:00
5858,730,10.0,2021-09-28T18:08:20.000-03:00
5857,730,3.0,2021-09-28T18:08:11.000-03:00
5855,211,13.0,2021-09-28T18:06:10.000-03:00
5853,737,29.0,2021-09-28T17:57:02.000-03:00
5847,730,3.0,2021-09-28T13:34:17.000-03:00
5846,730,2.0,2021-09-28T13:33:37.000-03:00
5843,730,5.0,2021-09-28T12:58:53.000-03:00
5841,730,4.0,2021-09-28T12:52:58.000-03:00
5822,211,20.0,2021-09-28T09:12:33.000-03:00
5812,730,2.0,2021-09-27T16:36:37.000-03:00
5811,732,20.0,2021-09-27T16:15:12.000-03:00
7407,730,5.0,2021-11-03T15:38:27.000-03:00
7387,732,78.0,2021-11-03T11:03:45.000-03:00
7376,732,20.0,2021-11-03T08:35:26.000-03:00
7373,732,45.0,2021-11-03T03:17:44.000-03:00
7360,732,32.5,2021-11-02T18:58:26.000-03:00
7353,671,600.0,2021-11-02T13:36:28.000-03:00
7340,732,36.0,2021-11-02T11:49:51.000-03:00
7338,732,20.0,2021-11-02T11:16:43.000-03:00
7327,732,26.0,2021-11-02T10:58:34.000-03:00
7322,732,16.5,2021-11-01T23:29:50.000-03:00
7299,732,39.0,2021-11-01T17:18:01.000-03:00
7296,732,16.5,2021-11-01T16:30:12.000-03:00
7284,732,30.0,2021-11-01T13:42:41.000-03:00
7276,732,20.0,2021-11-01T09:24:48.000-03:00
7271,732,30.0,2021-10-31T20:03:51.000-03:00
7269,730,400.0,2021-10-31T19:47:40.000-03:00
7267,730,2.0,2021-10-31T18:35:04.000-03:00
7263,671,50.0,2021-10-31T17:54:47.000-03:00
7243,732,35.0,2021-10-31T14:50:39.000-03:00
7222,671,500.0,2021-10-30T20:24:18.000-03:00
7212,732,100.3,2021-10-30T17:14:04.000-03:00
7177,730,2.0,2021-10-29T20:42:13.000-03:00
7170,732,2.0,2021-10-29T19:16:57.000-03:00
7169,732,5.0,2021-10-29T19:16:54.000-03:00
7168,732,2.0,2021-10-29T19:16:50.000-03:00
7167,732,5.0,2021-10-29T19:16:46.000-03:00
7156,732,44.88,2021-10-29T17:56:12.000-03:00
7179,732,50.0,2021-10-29T11:27:21.000-03:00
7149,732,33.0,2021-10-28T21:17:07.000-03:00
7140,732,28.02,2021-10-28T17:15:59.000-03:00
7130,827,20.0,2021-10-28T11:59:06.000-03:00
7124,732,80.0,2021-10-28T07:46:22.000-03:00
7120,737,12.25,2021-10-27T21:27:52.000-03:00
7111,730,2.0,2021-10-27T20:07:13.000-03:00
7099,732,50.0,2021-10-27T18:37:27.000-03:00
7093,732,5.0,2021-10-27T16:48:31.000-03:00
7092,732,5.0,2021-10-27T16:48:22.000-03:00
7091,732,29.83,2021-10-27T16:46:15.000-03:00
7081,732,22.4,2021-10-27T14:17:28.000-03:00
7074,732,13.26,2021-10-27T12:20:49.000-03:00
7071,732,40.0,2021-10-27T10:30:05.000-03:00
7057,732,76.37,2021-10-27T01:42:56.000-03:00
7038,732,16.0,2021-10-26T17:52:48.000-03:00
7032,732,30.0,2021-10-26T14:21:53.000-03:00
7023,732,20.0,2021-10-26T10:42:22.000-03:00
7021,732,9.52,2021-10-25T23:39:05.000-03:00
7006,732,50.0,2021-10-25T22:18:02.000-03:00
6992,732,25.39,2021-10-25T15:37:38.000-03:00
6970,737,6.0,2021-10-24T20:15:41.000-03:00
6969,730,2.0,2021-10-24T19:42:05.000-03:00
6964,730,3.0,2021-10-24T18:50:27.000-03:00
6961,732,6.65,2021-10-24T18:24:05.000-03:00
6960,737,6.4,2021-10-24T18:24:04.000-03:00
6948,732,30.94,2021-10-24T15:18:13.000-03:00
6947,732,104.43,2021-10-24T14:52:06.000-03:00
6941,732,26.25,2021-10-24T14:25:13.000-03:00
6929,732,28.13,2021-10-24T10:14:25.000-03:00
6928,732,20.0,2021-10-24T10:04:17.000-03:00
6913,732,60.0,2021-10-24T04:47:16.000-03:00
6905,732,13.15,2021-10-23T22:17:15.000-03:00
6892,732,101.9,2021-10-23T17:32:26.000-03:00
6886,730,2.0,2021-10-23T14:22:40.000-03:00
6875,732,9.53,2021-10-23T13:14:46.000-03:00
6874,732,10.06,2021-10-23T13:14:46.000-03:00
6870,732,60.0,2021-10-23T12:40:48.000-03:00
6866,671,1000.0,2021-10-23T11:03:59.000-03:00
6861,732,20.0,2021-10-23T10:35:06.000-03:00
6833,732,100.0,2021-10-22T10:51:12.000-03:00
6817,732,100.0,2021-10-21T16:31:28.000-03:00
6805,732,100.0,2021-10-21T12:30:59.000-03:00
6802,732,20.0,2021-10-21T00:58:01.000-03:00
6799,732,40.0,2021-10-20T23:44:41.000-03:00
6795,730,50.0,2021-10-20T20:18:59.000-03:00
6788,730,400.0,2021-10-20T19:34:09.000-03:00
6778,730,2.0,2021-10-20T18:28:46.000-03:00
6774,730,2.0,2021-10-20T18:25:34.000-03:00
6772,671,400.0,2021-10-20T18:16:47.000-03:00
6769,732,20.0,2021-10-20T17:43:29.000-03:00
6756,211,26.0,2021-10-20T13:19:46.000-03:00
6710,732,74.11,2021-10-20T00:02:53.000-03:00
6707,730,2.0,2021-10-19T21:14:11.000-03:00
6697,730,2.0,2021-10-19T17:38:26.000-03:00
6694,730,10.0,2021-10-19T16:28:22.000-03:00
6693,730,2.0,2021-10-19T16:27:03.000-03:00
6689,732,20.0,2021-10-19T15:39:59.000-03:00
6685,732,30.0,2021-10-19T13:22:56.000-03:00
6676,730,10.0,2021-10-18T19:43:48.000-03:00
6663,730,2.0,2021-10-18T17:59:58.000-03:00
6662,732,60.0,2021-10-18T17:46:24.000-03:00
6656,732,20.0,2021-10-18T11:55:26.000-03:00
6653,732,50.0,2021-10-17T19:04:06.000-03:00
6621,732,23.1,2021-10-17T12:36:54.000-03:00
6620,730,2.0,2021-10-17T12:25:02.000-03:00
6604,730,2.0,2021-10-16T18:49:50.000-03:00
